名词解释：思想道德素养,人们的思想观念、政治立场、价值取向、道德情操和行为习惯等方面品质和能力的综合体现。
名词解释：法治素养,人们学习法律知识、理解法律本质、运用法治思维、依法维护权利与依法履行义务的品质和能力。
名词解释：人生观,人们关于人生目的、人生态度、人生价值等问题的总观点和总看法。
名词解释：自我价值,个体的人生活动对自己的生存与发展所具有的价值，主要表现为对自身物质和精神需要的满足程度。
名词解释：社会价值,个体的实践活动对社会、他人所具有的价值。
名词解释：世界观,人们对生活在其中的世界以及人与世界的关系的总体看法和根本观点。
名词解释：理想,人们在实践中形成的、有实现可能性的、对未来社会和自身发展目标的向往和追求。
名词解释：信念,人们在一定的认知基础上确立的对某种思想或事物坚信不移并身体力行的精神状态。
名词解释：信仰,最高层次的信念，具有最大的统摄力。
名词解释：共产主义社会,物质财富极大丰富、实现按需分配、人的精神境界极大提高、每个人自由而全面发展的社会。
名词解释：民族精神,一个民族在长期共同生活和社会实践中形成的，为本民族大多数成员所认同的价值取向、思维方式、道德规范、精神气质的总和。
名词解释：价值观,主体对客体有无价值、价值大小的立场和态度，是对价值及其相关内容的基本观点和看法。
名词解释：核心价值观,是一定社会形态、社会性质的集中体现，在一个社会的思想观念体系中处于主导地位。
名词解释：道德,一种特殊的社会意识形态，以善恶为评价标准，主要依靠社会舆论、传统习俗和内心信念来发挥作用的行为规范的总和。
名词解释：网络生活中的道德要求,人们在网络生活中为了维护正常的网络公共秩序需要共同遵守的基本道德准则。
论述进入新时代的意义的第一点是什么？,意味着中华民族迎来了从站起来、富起来到强起来的伟大飞跃，迎来了实现中华民族伟大复兴的光明前景。
论述进入新时代的意义的第二点是什么？,意味着科学社会主义在21世纪的中国焕发出强大生机活力，在世界上高高举起了中国特色社会主义的伟大旗帜。
论述进入新时代的意义的第三点是什么？,意味着中国特色社会主义为解决人类问题贡献了中国智慧和中国方案，给希望加快发展的国家和民族提供了全新选择。
正确评价人生价值的三大原则分别是什么？,1. 既要看贡献大小，也要看尽力程度；2. 既要尊重物质贡献，也要尊重精神贡献；3. 既要注重社会贡献，也要注重自身完善。
为什么说理想信念是精神之“钙”？（第一点）,理想信念能够昭示奋斗目标。
为什么说理想信念是精神之“钙”？（第二点）,理想信念能够催生前进动力。
为什么说理想信念是精神之“钙”？（第三点）,理想信念能够提供精神支柱。
为什么说理想信念是精神之“钙”？（第四点）,理想信念能够提高精神境界。
思想道德和法律的共同点是什么？,都是调节人们思想行为、协调人际关系、维护社会秩序的重要手段，都服务于一定的经济基础。
思想道德与法律的关系中，思想道德为法律提供_____和_____。,思想指引，价值基础
思想道德与法律的关系中，法律为思想道德提供_____。,制度保障
马克思主义对人的本质的认识是什么？,“人的本质不是单个人所固有的抽象物，在其现实性上，它是一切社会关系的总和。”
根据马克思主义，_____的总和决定了人的本质。,社会关系
个人与社会的关系，最根本的是_____与_____的关系。,个人利益，社会利益
在社会主义社会中，个人利益与社会利益在根本上是_____的。,一致
人生自我价值与社会价值的关系中，自我价值是_____的必要条件，其实现是为社会创造更大价值的_____。,个体生存和发展，前提
人生自我价值与社会价值的关系中，社会价值是_____的重要条件，其实现是个体自我完善、全面发展的_____。,社会存在和发展，保障
为什么要信仰马克思主义？（科学性）,马克思主义是科学的理论，创造性地揭示了人类社会发展规律。
为什么要信仰马克思主义？（人民性）,马克思主义是人民的理论，第一次创立了人民实现自身解放的思想体系。
为什么要信仰马克思主义？（实践性）,"马克思主义是实践的理论，不仅致力于科学解释世界,而且致力于积极改变世界。"
为什么要信仰马克思主义？（发展性）,马克思主义是不断发展的、开放的理论，能够永保青春。
理想与现实的矛盾，属于“_____”与“_____”的矛盾。,应然，实然
理想受现实的_____和_____，是在对现实认知的基础上发展起来的。,规定，制约
面对“当代青年还需要艰苦奋斗吗”的疑问，应如何理解艰苦奋斗精神？,艰苦奋斗的精神是永不过时的，只是被赋予了新的时代内涵和实践要求。
艰苦奋斗是我们国家的_____。,传家宝
社会理想与个人理想的关系中，个人理想以社会理想为_____。,指引
社会理想与个人理想的关系中，社会理想是个人理想的_____和_____。,汇聚，升华
为什么在经济全球化背景下仍需要爱国主义？,因为国家仍然是民族存在的最高组织形式，且经济全球化不等于政治全球化。
如何做新时代的忠诚爱国者？（本质）,坚持爱国和爱党、爱社会主义高度统一。
如何做新时代的忠诚爱国者？（两个维护）,维护祖国统一和民族团结。
如何做新时代的忠诚爱国者？（文化层面）,尊重和传承中华优秀传统文化。
如何做新时代的忠诚爱国者？（视野格局）,坚持立足中国又面向世界。
为什么要坚持社会主义核心价值观？（对外）,有利于展示社会主义中国的良好形象，增强文化软实力和话语权。
为什么要坚持社会主义核心价值观？（对内）,有利于形成价值共识，引领整合社会思想意识，形成团结奋斗的强大精神力量。
人生观的核心是什么？,人生目的，即回答“人为什么活着”。
人生观除了人生目的，还包括哪两方面内容？,人生态度和人生价值。
错误的人生观：拜金主义,把追求金钱作为人生的至高目的的思想观念。
错误的人生观：享乐主义,主张人生就在于满足官感的需求与快乐的思想观念。
错误的人生观：极端个人主义,突出强调个人中心，表现为极端利己主义和狭隘功利主义。
世界观和人生观的关系是什么？,世界观决定人生观，人生观对世界观的巩固、发展和变化起重要作用。
理想具有哪三个基本性质？,超越性、实践性、时代性。
信念具有哪三个基本性质？,执着性、支撑性、多样性。
民族精神以_____为核心。,爱国主义
时代精神以_____为核心。,改革创新
爱国主义内涵中的“爱自己的骨肉同胞”被称为什么？,检验一个人是否是真诚爱国者的试金石。
爱国主义内涵中的“爱祖国的灿烂文化”被称为什么？,一个民族、一个国家最持久、最深层的力量，是民族的精神基因。
在总体国家安全观中，_____是宗旨，_____是根本。,人民安全，政治安全
在总体国家安全观中，_____是基础，_____是保障。,经济安全，军事科技文化社会安全
价值观具有哪三个主要特征？,反映特定的时代精神、体现鲜明的民族特色、蕴含着特定的阶级立场。
社会主义核心价值观在国家层面的价值目标是什么？,富强、民主、文明、和谐。
社会主义核心价值观在社会层面的价值取向是什么？,自由、平等、公正、法治。
社会主义核心价值观在公民个人层面的价值准则是什么？,爱国、敬业、诚信、友善。
道德起源的首要前提是什么？,劳动。
道德赖以产生的客观条件是什么？,社会关系。
道德产生的主观条件是什么？,人的自我意识。
道德的本质是什么？,道德是反映社会经济关系的特殊意识形态，是社会利益关系的特殊调节方式，是一种实践精神。
道德具有哪三大主要功能和作用？,认知功能、规范功能、调节功能。
网络道德的主要特征和难题包括什么？,虚拟性、主体隐匿性、网络公共性。